'blue chip' share	蓝筹股
groceries	n. （复数）食品杂货，食品杂货
grocery	食品杂货店 n. 杂货，杂货店，食品杂货店，食品杂货店，食品
grocery cart	手推车
grocery list	食品目录
grocery store	杂货店
groom	n. 新郎
grotto	n. 洞穴，岩穴
ground	地面，地面，地上 n. 地面，地，地面，地；地面，范围；场所
ground floor	n. <英>底层，一楼=<美>first floor
groundhog	n. 土拨鼠
group	组，组，群，组，团体 n. 组，组，群，组；群，群；组，群；组；团体 v.
grove	n. （尤指树木排列成行的）树丛，小树林
grow	种，种植，（使）生长；成长，种植，栽种 v. (grew)增长；增大，(grew)种植；生长；发育，(grew)（逐渐）变得；生长，成长，生长；发育；种植；变成，生长；种植，种植，种植，栽培（植物），（grew/grown）生长；增加 vt.&vi. （使）生长，发育；长大，长高
grow crops	种庄稼
grow up	成长，成长（过去式grew），成长，长大，成长；长大，成长；长大成人，长大，长大成人，成长，长大；成人；崛起，长大；成熟；成长，长大；成长
growing	adj. 增加的；增长的
growl	n.  v. 咆哮着说 vt.
grown	adj. 成年的；长大的
grownup	n. 成年人
growth	n. 增长；生长，发展，增加，增长；成长，生长，成长；生长，生长物
grudgingly	adv. 不情愿地，勉强地
grumble	v. 咕哝；发牢骚
guarantee	n. 保证（人/物） v. 保证 vt. 保证；担保，保证 vt.&n. 保证；担保
guard	n. （球赛的）后卫，卫兵，警卫，卫兵；看守 v. 守卫，保卫；看守，守卫；保卫 vt. 守卫，保卫，守护；防御
guard against	防止……发生，防止；提防
guard against sth	防范，提防（某事）
guardian	n. 护卫者，保护人；监护人
guess	猜，猜，猜测 n. 猜，猜测 v. 猜，猜测，猜测；估计，猜；猜测 vt. 猜，猜测
guess at sth.	猜测；估计
guesswork	n. 猜测
guest	客人 n. 客人，客人，宾客，客人；宾客
guidance	n. 指导，指导，引导，指导，引导，咨询，指导；向导；导航，指导；指引，指导；辅导，指导；领导
guide	介绍，指南，手册，指南 n. 向导，导游；指南，手册，导游，导游，向导，导游；向导，手册；指南，指南；导游，向导 v. 指引；带领 vt. 引导；指引
guidebook	n. 导游手册；旅行指南，旅游指南（或手册）
guided	adj. 有指导的
guilt	n. 罪行；内疚
guilty	adj. 不安的；有罪的，内疚的；有罪的，有内疚感的；有负罪感的，有罪的，犯罪的；感到内疚的，犯罪的；有罪的；内疚的，羞愧的，内疚的
guitar	吉他 n. 吉他
gulf	n. 海湾
gum	口香糖 n. 树胶，牙龈；口香糖，黏胶，胶质物
gummy	好吃的，美味的
gun	n. 枪，枪，炮，枪；炮
gunboat	n. 炮舰，炮艇
gunpowder	n. 火药，火药，弹药
gutter	n. 排水沟；阴沟；贫民区
guy	小伙子；家伙 n. <口>家伙，[俗]人；家伙，家伙，伙计，家伙；人，家伙；男人；小伙子，（非正式）男人；家伙 pl.
gym	体育馆 n. 体育馆，健身房（=gymnasium），体育馆；健身房，体育馆；健身房( =gymnasium)
gymnasium	n. 体育馆；健身房，体育馆；健身房(gym)
gymnast	n. 体操运动员
gymnastic	adj. 体操的
gymnastically	adv. 体能训练方面
gymnastics	n. (pl)体操；体能训练，体操，体操，体操训练
ha	哈
ha ha	哈哈，哈哈（表笑声）
habit	习惯，习惯，习性 n. 习惯，习惯；行为
habit-forming	成习惯性的，会上瘾的
habitat	n. 栖息地，栖息地；产地，（动植物的）生活环境，栖息地，栖息地；（动植物的）自然环境
hack	v. 私自盗用、改变他人电脑中的信息
hacker	黑客 n. 黑客，电脑黑客
had	have的过去式，有，有（have，has的过去式），有；吃；进行（活动）（have的过去式），（have的过去式）吃；喝，（have的过去式）度过，（have的过去式）有，（have的过去式）患病；得病
had a cold	感冒
had better	(='d better)最好，应该，最好
haiku	n. 俳句
hail	v. 热情赞扬 vt. 向……欢呼；大声招呼；呼喊
hailstorm	雹暴
hair	头发，头发；（或动物的）毛发 n. 头发，头发；毛发
hair clip	n. 发卡，发夹
haircut	n. 发型，发式，理发，理发，发式，发型；理发
hairdryer	n. 吹风机
hairpin	n. 发卡，发夹
hairstyle	n. 发型，发式，发型；发式，发型
hairy	adj. 多毛的，多毛的，毛茸茸的，毛的；多毛的
half	一半，一半；半数，半；一半，半，一半 n. 一半，半，一半，（比赛的）半场 n.&pron. 一半；半数 pron. 半，一半
half an hour late	迟到半小时
half past	……点半
half past...	……点半
half-hearted	adj. 缺乏热情的
half-time	n. 中场休息
half...and half...	各半；一半……一半……
halfway	adj.&adv. 在中途；部分地做（或达到） adv. 在中途；到一半；部分地做到或达到
hall	厅，大厅，礼堂 n. 会堂；大厅；走廊，大厅，礼堂，大厅；会堂，大厅；礼堂，礼堂，大厅，门厅，走廊
hallow	v. 把……视为神圣；尊敬
hallway	n. 走廊；过道
halt	v. （使）停止，（使）停止前进，停下
ham	n. 火腿
hamburger	汉堡，汉堡包 n. 汉堡包，汉堡包，牛肉饼
hammer	锤子 n. 榔头，锤子，锤子；榔头，铁锤；锤子 vt.
hand	手 n. 手 vi. 交；递，给 vt. 传递
hand in	上交，递交，提交；上交
hand out	分发，分发；提出，拿出来；分发
hand over	把……交给，移交（权利、责任）
hand sth. to sb.	把某物传递给某人
hand-feed	v. 用手喂
hand-made	adj. 手工的
hand-wash	n. 手洗
handbag	（女用）手提包 n. 女用皮包，手提包，小手提包，手提包，（女用）小提包
handclap	n. 拍手
handful	n. 少数，一些，少量的人或物；一把（的量），一把；少量
handicapped	adj. 残废的，身体有缺陷的，残废的
handicraft	手工艺品
handkerchief	n. 手帕，手帕；手绢；纸巾，手帕，纸巾
handle	n. 柄，把手 v. 处理；控制，对待；掌握 vt. 处理，处理；应付，对付
handmade	adj. 手工制作的
handrail	n. 扶手，栏杆
handsome	英俊的；帅气的，漂亮的，英俊的，英俊的 adj. 好看的；英俊的，漂亮的；英俊的，英俊的
handwriting	n. 书法，笔迹；书法；手写，书写
handy	adj. 便利的，方便使用的，方便的，便利的，方便的，手边的，灵巧的，方便的；有用的，易使用的；便利的，近便的；便利的；容易取得的
hang	悬挂，吊 v. (hung )悬挂；垂下，(hung)悬挂；垂下，(hung, hung)悬挂；吊，(hung，hung)悬挂；吊，悬挂，悬挂，吊，绞死；吊死，（hung/hung）悬挂；垂下 vi.&vt. 垂下；悬挂
hang on	【口】稍等，不挂断；稍等；紧紧握住，（在逆境中）坚持，（电话用语）别挂断
hang on a second	等一下
hang out	常去某处；泡在某处，闲逛，闲逛，游荡，闲逛；常去某处
hang up	把……挂起来；挂断电话，挂断电话
hanging	adj. 悬垂的，垂下的
happen	发生 v. 发生，发生，出现，发生；出现 vi. 发生
happen to	碰巧 v. 发生于
happen to sb.	发生在……身上
happened	happen的过去式
happening	n. 事件；发生的事情（常指不寻常的），事情；事件
happily	幸福地，愉快地，开心地，高兴地，快乐地，高兴地，高兴地，快乐地 adv. 幸福地，幸福地，快乐地，幸好，幸福地；满足地，快乐地，高兴地，幸福地，快乐地；高兴地
happiness	幸福，愉快，幸福，快乐 n. 幸福；快乐，幸福，幸福，快乐，幸福，快乐，适当，快乐；幸福，愉快，幸福
happy	开心的，快乐的，快乐的，幸福的，快乐的，高兴的，快乐的；高兴的，高兴，高兴的，高兴的；幸福的，快乐的；幸福的 adj. 幸福的，幸福的，快乐的；高兴的，快乐的；高兴的，愉快的；高兴的，高兴的，幸福的，高兴的；幸福的
happy clown	快乐的小丑
harbor	(BrE harbour)n.港口 n. 港口，港湾
harbour	n. (=harbor)海港，海港，海港；港口 (harbor)
hard	努力地，努力地，费劲地，困难的，困难的，费力的，坚硬的，猛烈地，严重地；努力地，硬的，难的，努力地；困难的 adj. 硬的，苛刻的，严厉的，辛苦的；艰难的 adv. 努力地；费力地 adv.&adj. 努力；艰难
hard copy	硬拷贝
hard disk	硬盘
hard-boiled	adj. 煮得很熟的，煮得老的
hard-wearing	adj. 耐磨的
hard-working	工作努力的；辛勤的 adj. 勤奋的，工作努力的，工作努力的，辛勤的，工作努力的；勤勉的，工作努力的；辛勤的，辛勤工作的
harden	vt.&vi. 变硬，硬化
harder	adv. 更努力地
hardly	几乎不 adv. 几乎不，几乎不；几乎没，几乎不；几乎没有
hardly ever	几乎从不
hardship	n. 困苦，艰难，辛苦，困苦；艰难，困难；艰难险阻，艰苦，困苦，艰难，困苦，艰难；困苦，苦难；困苦
hardware	硬件
hardworking	努力工作的 adj. 勤奋的，工作努力的；辛勤的
hare	n. 野兔
harm	n.&v. 伤害，损害 n.&vt. 伤害，害处，损害；危害 v. 损害；伤害 v.&n. 伤害；损害，危害，伤害，损害 vt. 伤害；损害 vt.&n. 伤害，损害，伤害
harmful	adj. 有害的，（尤指对健康或环境）有害的；导致损害的
harmless	adj. 无害的
harmonica	n. 口琴
harmony	n. 协调，协调，和谐，和谐，和谐，协调， 融洽，和谐；融洽，融洽，一致
harness	vt. 利用；将（自然力）变成动力
harp	n. 竖琴
harpoon	n. （捕鲸用的）鱼叉
harsh	adj. 刺耳的，刺眼的
harvest	n. 收获 n.&v. 收割，收获 n.&vt. ＆vi.收获；收割 vt.&vi. 收割，收获
has	(have的第三人称单数现在式)，有(have的单数第三人称形式)，有（动词have的第三人称单数），（have的第三人称单数形式）做；进行，从事，有 v. 有（have的第三人称单数形式），（have的第三人称单数形式）有
has got	（have got的第三人称单数形式）有
has to	不得不(have to)
hasn't got	没有(=has not got)
haste	n. 急速，匆忙
hastily	adv. 急速地；慌忙地
hasty	adj. 匆忙的；慌忙的
hat	帽子，（有边的）帽子，礼帽，（常指带檐的）帽子 n. 帽子，帽子（多指有边的帽子），（带檐的）帽子，（常指带檐的）帽子，（通常指有檐的）帽子
hat and wand	帽子与拐杖
hatch	n. 舱口；舱口盖 v. 孵出；孵化，孵化 vt. 孵化；出壳 vt.&vi. 策划，（尤指）密谋；孵化，孵出，孵出；孵卵；孵化
hate	讨厌 v. 厌恶，讨厌；仇恨，厌恶；憎恶，厌恶；讨厌，憎恨；讨厌，讨厌，厌恶；憎恨 vt. 恨；讨厌，憎恨；厌恶，讨厌；不喜欢，讨厌；恨
hateful	adj. 可恨的；讨厌的
hatred	n. 仇恨，憎恨；厌恶，痛恨，憎恨，讨厌；憎恨
haunted	adj. 有鬼魂出没的；闹鬼的
have	做；进行，从事，吃，有，有（has），有（第三人称单数has，过去式had），有（过去式had），有，拥有，有；吃，有；吃；进行（活动）（第三人称单数形式为has），吃，喝，有，吃 aux.  v. 有，有；吃，喝，经受；经历
have (no) control (over/of...)	能（不能）控制(……)
have a big effect on	对……有很大影响
have a burst of temper	发脾气
have a chip on one's shoulder	（俚）好斗；易被激怒
have a cold	患感冒，感冒
have a fever	发烧
have a gift for	对……有天赋，有……天赋，有……的天赋
have a go at	尝试，试一试
have a good look at	好好看看
have a good time	玩得开心，玩得高兴，玩得高兴；过得愉快，过得愉快，过得愉快，玩得高兴
have a headache	头疼
have a look	看一下，看一看
have a look at	看一看
have a match	比赛
have a meeting	开会
have a party	举办聚会，举行聚会
have a picnic	去野餐，野餐
have a point	有道理
have a population of	有……人口
have a rest	休息，休息一下
have a seat	请坐
have a stomachache	胃痛
have a strong link to	与……有密切的联系
have a talk with sb.	与某人交谈
have a toothache	牙疼
have a try	尝一尝；试试看，尝试一下，试一试
have a very bad effect on	造成坏的影响
have a very poor chance to do	做……没多大希望
have access to	可以使用／获得
have affection for	喜爱，钟爱
have an effect on	对……有影响；对……起作用；产生效果，对……起作用，对……产生影响
